,Date,Post ID,Post Type,Content Type,Sent by,Link,Post,Impressions,Reach,Engagement Rate (per Impression),Engagement Rate (per Reach),Engagements,Likes,Comments,Saves,Weekday,Time,Post Link Clicks,year_month,Sentiment,Sentiment_Label
19,2021-05-29 09:00:00,17939847187481080,Post,Photo,Kemi Amoo,https://www.instagram.com/p/CPcwoqIgQnO/,"Saturday mornings were synonymous with our favourite TV shows while growing up. Which was your favourite 😃 📺 ?

#ITCANBE",544.0,14435.0,1.86,2.0,33.0,266.0,21.0,1.0,Saturday,9,28.0,2021-05,0.0,Neutral
20,2023-02-13 08:22:00,17871362624844194,Post,Photo, ,https://www.instagram.com/p/ComBI8wI-Jr/,"#Repost @iamofficialfreda 
• • • • • •
My woman, My Everything
So understanding and kindhearted 
You gave me reason to love again 
Our 10 years journey in marriage has been blessed with your unadulterated love.
I reminisce how you join me to save towards my professional exam despite it was very expensive, You encourage that together we can achieve the savings through our bank Stanbic IBTC and we where able to pay for the exam and am glad I passed the exam with your encouragement.
You gave Peace of mind with your loving affection. 
I appreciate your words of determination/encouragement towards me 
When loosing up in faith atimes 
Your undiluted true love boost me up to strive and work harder in other to achieve success .
With you by my side, Our future is secured .
Love you always @diaryofqueenani
❤️ 
#LoveWithStanbicIBTC #GoForLove  #ITCanBe 
@stanbicibtc @stanbicibtc",320.0,13867.0,4.33,4.62,5.0,562.0,75.0,4.0,Monday,8,0.0,2023-02,0.25833333333333336,Positive
21,2020-10-25 08:00:00,17846196707389791,Post,Photo, ,https://www.instagram.com/p/CGweEfXpZTR/,"We understand the pain you may be experiencing as a result of the losses during this time. 
We are here to help however we can, let us know how we can support you by filling the form on the link in our bio.

#ITCANBE",228.0,13632.0,3.33,3.51,7.0,389.0,73.0,16.0,Sunday,8,2.0,2020-10,0.0,Neutral
22,2021-05-28 17:13:00,17915797969738615,Post,Photo,Kemi Amoo,https://www.instagram.com/p/CPbEQiwrhSG/,"Don't leave your child's education to chance. Better to get SET now than be sorry later. Join our Twitter chat on Wednesday 09 June 2021 at 2pm, to learn all you need to about the Stanbic IBTC Education Trust.
#SET
#BlueTalks
#ITCANBE",261.0,13626.0,1.66,1.81,5.0,238.0,2.0,6.0,Friday,17,0.0,2021-05,0.0,Neutral
23,2020-08-10 16:42:00,17855554244151393,Post,Video, ,https://www.instagram.com/tv/CDtp-_VpFVd/,"Posted @withregram • @taaooma .
.
.
With the @stanbicibtc  Super App you can open an instant account or an @ease wallet, check your pension(very important), monitor your investments and stock. Ah! Did I tell you, that you can use voice to do transactions with this app? They finish work! 

#APPyness 
#LikeAHero",1028.0,13551.0,4.63,5.31,24.0,648.0,38.0,33.0,Monday,16,9.0,2020-08,0.23958333333333331,Positive
24,2021-05-30 13:00:00,17904964849915715,Post,Photo,Kemi Amoo,https://www.instagram.com/p/CPfw5WJghz6/,"Fraudsters are everywhere. Be careful not to share your personal information such as your BVN or banking login details with untrusted sources.  Please call 0700 909 909 909 or email CustomerCareNigeria@stanbicibtc.com for more details
#ITCANBE",423.0,13503.0,1.83,2.0,7.0,257.0,7.0,6.0,Sunday,13,3.0,2021-05,0.1,Positive
25,2021-05-29 13:44:00,17870854412390095,Post,Video, ,https://www.instagram.com/p/CPdRH0fgBsj/,"Reposted from @momentwithsommy Question time with somto
#icanbe
@stanbicibtc",250.0,13306.0,2.09,2.16,3.0,272.0,12.0,3.0,Saturday,13,1.0,2021-05,0.0,Neutral
26,2021-05-30 07:18:00,18077818933272983,Post,Video, ,https://www.instagram.com/p/CPfJsmdgPGf/,"Reposted from @keenyhn06 #itcanbe @stanbicibtc 
Funny babyyyyy",353.0,13121.0,1.73,1.84,4.0,228.0,5.0,9.0,Sunday,7,3.0,2021-05,0.25,Positive
27,2021-05-29 11:18:00,17929299124541816,Post,Video, ,https://www.instagram.com/p/CPdAWfoARXv/,"Reposted from @momore.16 I'm Mojolaoluwa and I'm 5 years old. I'm such a smart and funny girl...🤣🤣🤣🤣
I want a ring like my mum. I have always admired it lol
#ITCANBE
@stanbicibtc",287.0,12930.0,2.27,2.41,9.0,301.0,9.0,1.0,Saturday,11,5.0,2021-05,0.27285714285714285,Positive
28,2022-07-04 12:00:00,17961678649815468,Post,Photo,Blessing Ubah,https://www.instagram.com/p/CfloATgsTCa/,"The day is finally upon us!​
Join us live on Instagram at 2 pm, as new winners are rewarded.​
It could be you! 😎 
#Reward4Saving​
#ITCANBE",893.0,12648.0,8.28,9.84,21.0,683.0,475.0,87.0,Monday,12,10.0,2022-07,0.10227272727272725,Positive
29,2022-11-08 13:05:00,18080204875314932,Post,Photo,Sophia Amuka,https://www.instagram.com/p/CkswfMUMTFI/,"The November offer for FGN Bonds is open! 💃
Hurry now and visit the link in our bio and click 'FGN Bonds Offer' to get started.
#ITCANBE",268.0,12574.0,1.75,1.9,4.0,174.0,40.0,25.0,Tuesday,13,3.0,2022-11,0.0,Neutral
30,2021-05-28 19:32:00,17902754869887472,Post,Video, ,https://www.instagram.com/p/CPbUHKCA8Mq/,"This weekend is another opportunity to bond with your child and also WIN a gift worth N27,000. Record a video of your child answering any two questions from the video with the hashtag #ITCANBE and tag @stanbicibtc. The deadline for entries is now 30 May 2021.",921.0,12443.0,1.63,1.83,13.0,198.0,23.0,7.0,Friday,19,3.0,2021-05,0.55,Positive
31,2021-05-29 11:24:00,17915589589740890,Post,Photo, ,https://www.instagram.com/p/CPdBKrzLg3Q/,"The Sustainable Development Goals (SDGs) cannot be achieved without the realisation of child rights.
At Stanbic IBTC, we believe children are the future, and we are committed to support and make the world more sustainable for the younger generation. Here are some initiatives we have put in place to achieve this.

#SDG
#Childrensright
#SustainabilitySaturday",765.0,12176.0,1.3,1.4,10.0,160.0,7.0,4.0,Saturday,11,5.0,2021-05,0.16666666666666666,Positive
32,2020-11-14 10:57:00,18078536680234527,Post,Photo, ,https://www.instagram.com/p/CHkSQO7JCM0/,"Executive Director, Personal and Business Banking, Stanbic IBTC Bank, Remy Osuagwu out here walking #Together4ALimb to raise awareness for children living with limb loss.

#VirtualT4AL2020
#ITCANBE",11846.0,12040.0,5.48,5.72,762.0,669.0,12.0,8.0,Saturday,10,232.0,2020-11,0.0,Neutral
33,2021-05-30 10:00:00,17845285286604515,Post,Photo,Kemi Amoo,https://www.instagram.com/p/CPfcTRlAYxv/,"Now you don’t have any excuse not to send ‘mumsy’s’ money sharp sharp! 
You can send money to your loved ones with a simple text message! SMS HELP to 30909 or dial *909*30*909# to set up a mandate and get started.
#ITCANBE",,12029.0,1.35,1.44,,167.0,1.0,5.0,Sunday,10,,2021-05,0.07375,Positive
34,2021-05-30 07:16:00,17895625901102952,Post,Video, ,https://www.instagram.com/p/CPfJjk3gZok/,"Reposted from @prettysladynextdoor Every child is amazing in their own little ways.....My son replied the question from @stanbicibtc part of it really got me laughing as a mum....God bless all our children....
Our joy, Our Future
#ITCANBE
#ChildrensDay
#StanbicBank
@stanbicibtc",465.0,11973.0,1.61,1.71,12.0,197.0,6.0,2.0,Sunday,7,4.0,2021-05,0.3354166666666667,Positive
35,2021-05-29 15:10:00,17964805396414993,Post,Video, ,https://www.instagram.com/p/CPda6BZAQ6d/,"Reposted from @stitchesnsoles My entry for @stanbicibtc #itcanbe

Mbok I have 2 boys so they both had to go😂😂😂.

#childrensday #saturdayvibes",4365.0,11733.0,1.8,1.88,296.0,211.0,8.0,1.0,Saturday,15,233.0,2021-05,0.0,Neutral
36,2023-02-05 10:01:00,18344407084001881,Post,Video,Blessing Ubah,https://www.instagram.com/p/CoRl_DiIPAy/,"How much did you get? 
Take a screenshot of how much you got, share on your stories and tag us!​
#ITCANBE​",430.0,11599.0,2.88,3.11,8.0,250.0,99.0,12.0,Sunday,10,3.0,2023-02,0.2,Positive
37,2021-05-29 16:26:00,17893523012123064,Post,Video, ,https://www.instagram.com/p/CPdjnPigjJY/,"Reposted from @scottisbee Children can be so funny.
My little girl just want to be like me at all times. So so funny

@stanbicibtc #itcanbe",426.0,11584.0,1.71,1.76,18.0,197.0,4.0,3.0,Saturday,16,8.0,2021-05,0.10416666666666667,Positive
38,2021-11-25 18:12:00,17909662502225104,Post,Photo,Blessing Ubah,https://www.instagram.com/p/CWtO4scs42r/,"Who is securing the bag?

A, B or C?

#ITCANBE",275.0,11535.0,3.86,4.2,5.0,268.0,207.0,9.0,Thursday,18,2.0,2021-11,0.0,Neutral
39,2020-10-21 16:07:00,17893757395656249,Post,Photo,Aramide Salami,https://www.instagram.com/p/CGnCrYZgfkD/,Please stay safe.,407.0,11419.0,2.39,2.6,18.0,197.0,95.0,5.0,Wednesday,16,13.0,2020-10,0.5,Positive
40,2021-05-29 14:23:00,17895892427084419,Post,Video, ,https://www.instagram.com/p/CPdVkh5gaMl/,"Reposted from @little_rechel Rachel's Entry.  Question Time. @stanbicibtc
#Itcanbe",279.0,11125.0,1.93,2.04,6.0,172.0,54.0,1.0,Saturday,14,0.0,2021-05,0.0,Neutral
41,2020-04-12 19:56:00,17941057663348413,Post,Photo, ,https://www.instagram.com/p/B-5EMIOpn6t/,"Are you ready for our Easter Love giveaway?

Click on the link on our bio and fill the form attached to this post to be one of the final winners in our Easter Love double!

Tag your Geng to let them know that we are announcing 8 final winners on Easter Monday by 8pm!

#TagYourGeng
#StanbicIBTCGeng
#909FanGeng #InvestmentClubGeng #SavingsSureGeng #BookwormGeng #EasterLoveGeng",2339.0,11028.0,6.59,7.51,304.0,545.0,269.0,14.0,Sunday,19,271.0,2020-04,0.19999999999999998,Positive
42,2021-05-29 21:32:00,17963072047417652,Post,Video, ,https://www.instagram.com/p/CPeGqmJAQoA/,Reposted from @dd4star #itcanbe @stanbicibtc My baby want to buy a mansion,,11007.0,1.46,1.53,,160.0,4.0,4.0,Saturday,21,,2021-05,0.0,Neutral
43,2021-05-29 14:59:00,18225805084051357,Post,Video, ,https://www.instagram.com/p/CPdZnwrA4U6/,Reposted from @spicyyemy_kids_couture #itcanbe @stanbicibtc,779.0,10895.0,1.4,1.48,23.0,152.0,9.0,0.0,Saturday,14,20.0,2021-05,0.0,Neutral
44,2022-06-06 09:00:00,17873872808702007,Post,Photo,Blessing Ubah,https://www.instagram.com/p/CedNI_4MT56/,"Drumroll! 🥁 
The day is here. Will you be among the lucky winners?
Join the live session at 2pm to find out. 😉 
#Reward4Saving2
#ITCANBE",422.0,10863.0,11.45,14.18,4.0,803.0,659.0,78.0,Monday,9,2.0,2022-06,0.23484848484848483,Positive
45,2022-10-06 17:42:00,17990247082568255,Post,Carousel, ,https://www.instagram.com/p/CjYR2wmIKbp/,"At Stanbic IBTC, we are obsessed with our customers and this is why our CE, Dr Demola Sogunle spent most of today engaging with customers at Ajose Adeogun branch. 
#CustomerServiceWeek
#ITCANBE",,10404.0,4.6,5.71,,559.0,29.0,6.0,Thursday,17,,2022-10,0.07500000000000001,Positive
46,2021-05-29 21:37:00,17886158192270389,Post,Video, ,https://www.instagram.com/p/CPeHPHwAxtY/,"Reposted from @chukwura_somtochukwu HALIMATU LAWAL ENTRY VIDEO @stanbicibtc
#ITCANBE",1016.0,10287.0,1.25,1.31,36.0,132.0,0.0,3.0,Saturday,21,8.0,2021-05,0.0,Neutral
47,2021-05-29 15:11:00,17897713358034530,Post,Video, ,https://www.instagram.com/p/CPdbBzeAIak/,"Reposted from @stitchesnsoles My entry for @stanbicibtc #itcanbe

Mbok I have 2 boys so they both had to go😂😂😂.

#childrensday #saturdayvibes",459.0,10244.0,1.56,1.65,9.0,163.0,5.0,1.0,Saturday,15,3.0,2021-05,0.0,Neutral
48,2021-05-30 15:14:00,17913765121768047,Post,Video, ,https://www.instagram.com/p/CPgAL4eASm8/,"Reposted from @dtwins_love Children are so funny😀😀
-
#itcanbe @stanbicibtc",1129.0,10231.0,1.57,1.66,28.0,166.0,4.0,0.0,Sunday,15,14.0,2021-05,0.0,Neutral
49,2021-05-29 13:48:00,17927835403589602,Post,Video, ,https://www.instagram.com/p/CPdRnzpgDvh/,"Reposted from @chid_square2 #icanbe
@stanbicibtc",645.0,10069.0,1.45,1.53,23.0,150.0,3.0,1.0,Saturday,13,8.0,2021-05,0.0,Neutral
50,2020-10-18 12:15:00,17944798531390246,Post,Photo,Aramide Salami,https://www.instagram.com/p/CGe5xajAOWz/,"We sincerely apologise for any inconvenience you may be experiencing now in trying to use our banking channels. The upgrade is in progress and an update will be shared once full services are restored. In the meantime, you can reach out to us by calling 0700 909 909 909 or by sending an email to CustomerCareNigeria@stanbicibtc.com for any enquiries.",361.0,10021.0,2.89,3.19,7.0,214.0,103.0,3.0,Sunday,12,4.0,2020-10,0.425,Positive
51,2021-05-29 14:09:00,17883166769331848,Post,Video, ,https://www.instagram.com/p/CPdUBGXgm7G/,"Reposted from @kidmodelkhaira Khaira want to be an adult so she can do anyhow 🤣🤣🤣🤣 #icanbe #ITCANBE
@stanbicibtc",1057.0,9943.0,1.38,1.43,22.0,136.0,5.0,1.0,Saturday,14,4.0,2021-05,0.1,Positive
52,2023-04-03 15:00:00,18001562137663817,Post,Photo,Sophia Amuka,https://www.instagram.com/p/Cqk5oz9O6PP/,"Investing may seem complex for beginners but at Stanbic IBTC, we simplify the process. Start your journey to building wealth by investing in the April offer of the FGN Savings Bonds.
To get started, visit the link in our bio and click, ""FGN Bonds Offer"".

#Invest
#ITCANBE",942.0,9873.0,2.48,2.68,53.0,178.0,56.0,31.0,Monday,15,30.0,2023-04,-0.3,Negative
53,2021-05-29 15:04:00,17858917913537249,Post,Video, ,https://www.instagram.com/p/CPdaT3kg2oY/,"Reposted from @smallboycomedian #REPOST @topraise_world with @get__repost__app  Lols....son's entry
@stanbicibtc
#ITCANBE

......
Thank you @stanbicibtc
for this...
Mum""s page2 
@officialtopraise #repostandroid #repostw10",607.0,9784.0,1.24,1.3,7.0,120.0,7.0,0.0,Saturday,15,2.0,2021-05,0.0,Neutral
54,2022-01-22 19:00:00,17919787643061475,Post,Photo,Blessing Ubah,https://www.instagram.com/p/CZCqf_ZsCvb/,"This Sunday, Super Eagles vs The Eagles of Carthage. What is your prediction? 
#InsurancecoversSuperEagles 
#StanbicIBTCAFCON
#GoForIt
#ITCANBE",237.0,9781.0,4.12,4.4,0.0,278.0,145.0,7.0,Saturday,19,0.0,2022-01,0.3333333333333333,Positive
55,2022-04-14 18:11:00,18135118672255919,Post,Photo,Sophia Amuka,https://www.instagram.com/p/CcVuD4xs_R0/,"Thank you for joining our webinar! 
We hope you learnt something about the importance of insurance in staying in business. 
For more enquiries on how you can get the #BestInsuranceDeals, please call 01 277 0394 or send an email to insurancesolution@stanbicibtc.com. 
You can also visit https://bit.ly/StayINBusinessWebinar to watch the webinar replay. 
#ITCANBE",609.0,9583.0,0.66,0.7,15.0,33.0,33.0,1.0,Thursday,18,5.0,2022-04,0.5,Positive
56,2020-10-18 14:31:00,17892686542642316,Post,Photo, ,https://www.instagram.com/p/CGfJVX7JKPp/,"Services on our banking channels are back up! 

This means it's time to get back to enjoying seamless banking experience on our channels, Mobile App, Internet Banking and *909#. 

Thank you for your patience.

#ITCANBE",,9551.0,4.5,4.98,,217.0,255.0,4.0,Sunday,14,,2020-10,0.15,Positive
57,2020-10-19 18:14:00,17885950033772969,Post,Photo,Blessing Ubah,https://www.instagram.com/p/CGiHpH_lKGD/,"Do you have big dreams? 
Chase them and have a good week! 

#PowerUpMonday 
#MotivationMonday
#ITCANBE",417.0,9506.0,3.88,4.28,5.0,259.0,144.0,4.0,Monday,18,3.0,2020-10,0.4375,Positive
58,2021-05-29 21:26:00,17880718148267129,Post,Video, ,https://www.instagram.com/p/CPeF973A-0B/,Reposted from @no1obi #itcanbe @stanbicibtc,411.0,9492.0,1.12,1.17,9.0,107.0,3.0,1.0,Saturday,21,4.0,2021-05,0.0,Neutral
59,2023-03-15 17:30:00,17957900159414491,Post,Photo,Kemi Amoo,https://www.instagram.com/p/Cp0PrOAtJEV/,"Do you still have old Naira notes on you? Not to worry, you can deposit or withdraw them until Sunday, December 31, 2023, at any of our branches. 
#ITCANBE",796.0,9433.0,4.09,4.49,19.0,341.0,69.0,14.0,Wednesday,17,7.0,2023-03,0.1,Positive
60,2022-04-15 11:13:00,17944795018912338,Post,Photo,Blessing Ubah,https://www.instagram.com/p/CcXjBL6M-53/,"New to investing and looking for low-risk investment option? 
Get started by investing in FGN Bonds.
All you must do is send an email to CallMe@stanbicibtc.com and our team of experts will guide you.
#ITCANBE",109.0,9398.0,1.93,2.16,5.0,75.0,118.0,10.0,Friday,11,0.0,2022-04,0.13636363636363635,Positive
61,2021-05-29 13:46:00,17896874617982608,Post,Video, ,https://www.instagram.com/p/CPdRYNggoQM/,"Reposted from @loved_.kids #itcanbe 
@stanbicibtc :

 #gainwithwestandmugweru #gainwithpolasha #gaintrick #gainwithmchina #gainwithfinessengara #gainwithbandanafather #gainwithpaula #gainwiththeeben #gainwithmugweru #gain #gainwithbundi #gainwithmtaaraw #gainparty #gainwithkenyanoxygen  #gainwiththeepluto #gainwithxtiandela #gainfollowers #vscokenya #iamnairobian #madeinkenya #drip #nairobikenya #igerskenya #tumewasha #tembeakenya #publicity254 #fashionkenya #picoftheday #igkenya",236.0,9285.0,10.59,11.11,1.0,1015.0,17.0,0.0,Saturday,13,1.0,2021-05,0.0,Neutral
62,2021-05-30 07:15:00,17913547840788818,Post,Video, ,https://www.instagram.com/p/CPfJbSEAj95/,"Reposted from @taiwing20 @stanbicibtc , here comes my son entry
#itcanbe",106.0,9268.0,1.06,1.1,0.0,98.0,2.0,2.0,Sunday,7,0.0,2021-05,0.0,Neutral
63,2021-02-16 19:28:00,17949001765420674,Post,Photo, ,https://www.instagram.com/p/CLXPcViLb62/,"Today we celebrate Dr. Ngozi Okonjo-Iweala for her hard work and diligence.

From one feat to another, she has written not only her name but also ours on the map of the world.

Photo credit: WTO Website

#ITCANBE

#BeLikeNgoziChallenge

#BlackHistoryMonth",209.0,9244.0,4.91,5.24,6.0,460.0,20.0,4.0,Tuesday,19,3.0,2021-02,-0.14583333333333334,Negative
64,2021-11-20 12:10:00,17889962429437107,Post,Photo, ,https://www.instagram.com/p/CWftj2JIhkF/,"Our CE, Dr. Demola Sogunle and his family walking #Together4ALimb to raise awareness for children without limbs.

#VirtualT4AL2021
#DemolaSogunle
#ITCANBE",122.0,9228.0,5.04,5.42,2.0,427.0,69.0,4.0,Saturday,12,1.0,2021-11,0.0,Neutral
65,2021-05-30 11:56:00,17876404262328438,Post,Video, ,https://www.instagram.com/p/CPfpn9-AbYz/,"Reposted from @aya_oba_toh_fine Kids are so amazing.
Their imaginations sometimes is bigger than their body.
#ITCANBE 
#ChildrensDay @stanbicibtc",591.0,9001.0,1.55,1.63,7.0,139.0,7.0,1.0,Sunday,11,3.0,2021-05,0.30000000000000004,Positive
66,2021-05-29 15:58:00,17857662815516514,Post,Video, ,https://www.instagram.com/p/CPdgcx6gz0T/,"As a Brand committed to serving its customers and the community at large, we decided to support entrepreneurs whose businesses were affected by the unrest following the #EndSARS protests. We asked our customers and non-customers alike for their feedback on how best we can support them in rebuilding their businesses through #LetUsRebuildTogether.  

Since then, 11 businesses have been awarded a grant of N1.5million towards rebuilding their businesses, because we believe #ITCANBE",562.0,8898.0,1.09,1.16,13.0,97.0,3.0,3.0,Saturday,15,2.0,2021-05,0.4047619047619047,Positive
67,2021-05-30 21:05:00,17908126090806900,Post,Video, ,https://www.instagram.com/p/CPgobaTgXBm/,"Reposted from @amaechiakano My baby girl sold me out sha 🙆♀‍🤦🤣.........

 Introducing Daniella Ijeh😊

@stanbicibtc
#stanbicibtc
#itcanbe",421.0,8839.0,2.65,2.84,9.0,228.0,18.0,5.0,Sunday,21,1.0,2021-05,0.0,Neutral
68,2021-11-19 14:10:00,17929401856885067,Post,Video, ,https://www.instagram.com/p/CWdWUltoneP/,"#Repost @k8henshaw
...
Join us tomorrow morning, Saturday at 7am for the virtual warm up session before we set out to walk for a children with limb loss.🙏👍
It's for a worthy cause my lovelies. 
I look forward to ""seeing"" You all.

Link to join the session: https://primitive.bluejeans.com/a2m/register/cxyvvwbq
.
.
You can also clock in your steps on https://steps.stanbicibtc.com/home 

#VirtualT4ALimb
#Together4ALimb
#ITCANBE",252.0,8805.0,3.99,4.33,3.0,349.0,22.0,10.0,Friday,14,2.0,2021-11,0.4666666666666667,Positive
69,2020-10-20 17:32:00,18124593517086485,Post,Photo,Blessing Ubah,https://www.instagram.com/p/CGknoJGlvII/,"Please stay safe!

Thank you for banking with us. 

#ITCANBE",327.0,8805.0,2.05,2.21,8.0,156.0,37.0,2.0,Tuesday,17,1.0,2020-10,0.625,Positive
