,Date,Post ID,Post Type,Content Type,Sent by,Link,Post,Impressions,Engagement Rate (per Impression),Engagements,Likes,Comments,Shares,Click-Through Rate,Post Link Clicks,Weekday,Time,year_month,Sentiment,Sentiment_Label
12,2023-07-09 16:00:00,7083822111944826880,Post,Photo,Kemi Amoo,https://linkedin.com/feed/update/urn:li:share:7083822111944826880,"Update! Need to swap your FX to naira? We've got you covered! Download the Stanbic IBTC Mobile App now to get started.
#ITCANBE",371.0,3.23,12.0,2.0,0.0,0.0,2.7,10.0,Sunday,16,2023-07,0.0,Neutral
13,2023-07-09 11:16:00,7083750641294000128,Post,Photo,Blessing Ubah,https://linkedin.com/feed/update/urn:li:share:7083750641294000128,"Don’t let fear of the managing your finances home and abroad stop you from travelling abroad. Do you have question(s) about your money and travelling abroad? Share with us here https://lnkd.in/dcFK-vwH

#ITCANBE
",337.0,2.08,7.0,1.0,1.0,0.0,1.48,5.0,Sunday,11,2023-07,0.0,Neutral
14,2023-07-09 07:28:00,7083693259222302720,Post,Photo,Blessing Ubah,https://linkedin.com/feed/update/urn:li:share:7083693259222302720,"With our team of professionals, you can trust us to navigate the dynamic market landscape on your behalf. 
Visit https://lnkd.in/dRXcBs2 to start your journey towards financial success today by investing in our mutual fund.

#ITCANBE
",525.0,4.38,23.0,10.0,0.0,1.0,2.29,12.0,Sunday,7,2023-07,0.09999999999999999,Positive
15,2023-07-08 18:15:00,7083493852090671104,Post,Video, ,https://linkedin.com/feed/update/urn:li:ugcPost:7083493852090671104,"Experience the captivating semifinals of our talent hunt show, where dreams become reality and talent meets destiny. Visit https://bit.ly/FUZERecap for this thrilling showdown of extraordinary performances and unforgettable moments. 
#IgniteYourFUZE
#ITCANBE
",2088.0,3.02,63.0,19.0,0.0,0.0,2.11,44.0,Saturday,18,2023-07,0.4708333333333333,Positive
16,2023-07-08 15:00:00,7083444648551100416,Post,Photo,Blessing Ubah,https://linkedin.com/feed/update/urn:li:share:7083444648551100416,"With our Home Loan, you can get the desired space that reflects your personal taste and style. Visit https://lnkd.in/dASbfHCz  today to get started.
#ITCANBE
",253.0,2.77,7.0,2.0,0.0,1.0,1.58,4.0,Saturday,15,2023-07,0.0,Neutral
17,2023-07-08 10:02:00,7083369632232800256,Post,Photo,Blessing Ubah,https://linkedin.com/feed/update/urn:li:share:7083369632232800256,"Make secure payments with ease using NQR. Scan the QR code to initiate your payment.
#ITCANBE
",385.0,3.12,12.0,10.0,0.0,0.0,0.52,2.0,Saturday,10,2023-07,0.4,Positive
18,2023-07-08 09:30:00,7083361650778529792,Post,Video,Kemi Amoo,https://linkedin.com/feed/update/urn:li:ugcPost:7083361650778529792,"With an impressive track record and a wealth of knowledge, Juliet Ehimuan (@jehimuan) delivered an enlightening and captivating keynote address at LATTES 3.0. Visit https://lnkd.in/dfWFfiPy if you missed it.
#LATTES
#ITCANBE",639.0,2.5,16.0,7.0,0.0,0.0,1.41,9.0,Saturday,9,2023-07,0.6,Positive
19,2023-07-07 20:44:00,7083168856520765440,Post,Photo,Blessing Ubah,https://linkedin.com/feed/update/urn:li:ugcPost:7083168856520765440,"Greatest Uites and Bodija market,we are coming your way! 
Join us as we embark on a transformative journey towards accelerating business growth. 😉 
Interested in opening a business account? Visit here now - https://lnkd.in/dTSaPMHs
#ITCANBE",544.0,6.07,33.0,5.0,0.0,0.0,5.15,28.0,Friday,20,2023-07,0.625,Positive
20,2023-07-07 20:40:00,7083167829193035776,Post,Video,Blessing Ubah,https://linkedin.com/feed/update/urn:li:ugcPost:7083167829193035776,"Where are the business gurus in Ibadan?
Join us at Gbagi and Agbeni Markets, where we'll embark on a transformative journey towards accelerating your business growth. 😉
Interested in opening a business account? Visit here now - https://lnkd.in/dTSaPMHs
#ITCANBE",320.0,1.56,5.0,5.0,0.0,0.0,0.0,0.0,Friday,20,2023-07,0.25,Positive
21,2023-07-07 19:23:00,7083148418499436544,Post,Photo,Blessing Ubah,https://linkedin.com/feed/update/urn:li:share:7083148418499436544,"Invest in the secure and reliable FGN Savings Bond and watch your wealth flourish. Send an email now to CallMe@stanbicibtc.com to build a brighter financial future today.
#ITCANBE",228.0,3.07,7.0,3.0,2.0,0.0,0.88,2.0,Friday,19,2023-07,0.13333333333333333,Positive
22,2023-07-07 18:01:00,7083127785614884866,Post,Photo,Blessing Ubah,https://linkedin.com/feed/update/urn:li:share:7083127785614884866,"Whether you are spending quality time with loved ones or indulging in some much-needed self-care, this weekend will be a beautiful one. Amen?
#Weekend
#ITCANBE
",261.0,1.92,5.0,5.0,0.0,0.0,0.0,0.0,Friday,18,2023-07,0.7749999999999999,Positive
23,2023-07-07 15:59:00,7083097244333203456,Post,Video,Damilare Oyekanmi,https://linkedin.com/feed/update/urn:li:ugcPost:7083097244333203456,"How do you pursue happiness? Your Stanbic IBTC Mutual Funds investments can bring you great financial gains. Listen to the latest episode of our enlightening series, 'Chemistry of Wealth' at https://lnkd.in/dvX325S7 to find out how.

#ITCANBE
#InvestForMore

",1028.0,2.33,24.0,14.0,0.0,1.0,0.88,9.0,Friday,15,2023-07,0.45999999999999996,Positive
24,2023-07-07 15:00:00,7083082427153195008,Post,Video,Blessing Ubah,https://linkedin.com/feed/update/urn:li:ugcPost:7083082427153195008,"Water serves as the fundamental impetus behind all natural phenomena, as famously stated by Leonardo da Vinci. It is this profound understanding that propelled us to install three solar-powered boreholes, benefitting more than 12,000 students attending Charanchi Primary School, Goron Dutse Special Primary/Secondary School, and Kofir Naisa Special Primary School in Kano state, Nigeria.
#ITCANBE",423.0,1.65,7.0,4.0,0.0,0.0,0.71,3.0,Friday,15,2023-07,0.2552910052910053,Positive
25,2023-07-07 10:08:00,7083008908025315329,Post,Photo,Blessing Ubah,https://linkedin.com/feed/update/urn:li:share:7083008908025315329,"Embrace the opportunity to invest in their education today. Visit https://lnkd.in/e6M4JuzD or email SITLAgency@stanbicibtc.com today and help your child in opening doors to a brighter future.
#ITCANBE
",250.0,1.2,3.0,2.0,0.0,0.0,0.4,1.0,Friday,10,2023-07,0.0,Neutral
26,2023-07-06 19:39:00,7082790190926245888,Post,Video,Kemi Amoo,https://linkedin.com/feed/update/urn:li:ugcPost:7082790190926245888,"Here is your one-stop guide on how to navigate the app and reset your password whenever you need to.
Download the Stanbic IBTC Mobile App now to begin.
#Invest
#TrustedBroker
#ITCANBE
",353.0,1.13,4.0,1.0,0.0,0.0,0.85,3.0,Thursday,19,2023-07,0.0,Neutral
27,2023-07-06 17:16:00,7082754208776544257,Post,Photo,Blessing Ubah,https://linkedin.com/feed/update/urn:li:share:7082754208776544257,"Are you uncertain about the approach to take regarding your japa plans or how you can access your money while ‘in the abroad’? 
Make it a date with our experts on Twitter Spaces, and let's have a conversation about this.
Visit https://lnkd.in/dcFK-vwH to join.
#ITCANBE",287.0,3.14,9.0,4.0,0.0,0.0,1.74,5.0,Thursday,17,2023-07,0.0,Neutral
28,2023-07-06 15:10:00,7082722482230562816,Post,Photo,Kemi Amoo,https://linkedin.com/feed/update/urn:li:ugcPost:7082722482230562816,"Are you in Enugu or Port Harcourt? ​
Join us at the business masterclass, where business ideas are ignited and manifested.​
#ITCANBE​",893.0,2.35,21.0,11.0,0.0,0.0,1.12,10.0,Thursday,15,2023-07,0.0,Neutral
29,2023-07-06 14:30:00,7082712319364857856,Post,Photo,Kemi Amoo,https://linkedin.com/feed/update/urn:li:share:7082712319364857856,"It was an unforgettable event filled with sights that left us in awe!
#LATTES
#ITCANBE",268.0,1.49,4.0,1.0,0.0,0.0,1.12,3.0,Thursday,14,2023-07,0.4000000000000001,Positive
30,2023-07-06 12:21:00,7082679920836980737,Post,Video,Blessing Ubah,https://linkedin.com/feed/update/urn:li:ugcPost:7082679920836980737,"Stanbic IBTC PMI slightly dipped to 53.2 in June signalling a solid monthly improvement in the health of the private sector.

Here are the highlights.
#StanbicIBTCPMI
#ITCANBE",921.0,1.41,13.0,9.0,0.0,1.0,0.33,3.0,Thursday,12,2023-07,-0.05555555555555555,Negative
31,2023-07-05 16:17:00,7082376910986485761,Post,Video,Kemi Amoo,https://linkedin.com/feed/update/urn:li:ugcPost:7082376910986485761,"Your investment shouldn’t only be in Naira. It can be in Dollars too. Send an email to CallMe@stanbicibtc.com or call 01 270 6800 to get started.
#WealthWednesday
#ITCANBE",765.0,1.31,10.0,5.0,0.0,0.0,0.65,5.0,Wednesday,16,2023-07,0.0,Neutral
32,2023-07-05 11:04:00,7082298247959973888,Post,Video, ,https://linkedin.com/feed/update/urn:li:ugcPost:7082298247959973888,"Ladies At The Table Empowerment Series 

Hey ladies, are you prepared for an experience that will fuel your determination and ignite the fire within you?
Watch the 2023 edition of the Ladies At The Table Empowerment Series (LATTES). ",11846.0,6.43,762.0,237.0,284.0,9.0,1.96,232.0,Wednesday,11,2023-07,0.0,Neutral
33,2023-07-05 11:02:00,7082297618676031489,Post,Video, ,https://linkedin.com/feed/update/urn:li:ugcPost:7082297618676031489,"Ladies At The Table Series (LATTES) 3.0

Hey ladies, are you prepared for an experience that will fuel your determination and ignite the fire within you?
Watch the 2023 edition of the Ladies At The Table Empowerment Series (LATTES). ",0.0,0.0,,,,,,0.0,Wednesday,11,2023-07,0.0,Neutral
34,2023-07-04 18:04:00,7082041520329039874,Post,Photo,Sophia Amuka,https://linkedin.com/feed/update/urn:li:share:7082041520329039874,"Start your journey to wealth with FGN Bonds!
Hurry now and invest in the July offer.
To get started, email CallMe@stanbicibtc.com or visit https://lnkd.in/d52MrGSm

#Invest
#ITCANBE

",465.0,2.58,12.0,6.0,0.0,2.0,0.86,4.0,Tuesday,18,2023-07,0.0,Neutral
35,2023-07-04 12:20:00,7081954940893446144,Post,Text, ,https://linkedin.com/feed/update/urn:li:ugcPost:7081954940893446144,Welcome to the Blue family 💙,4365.0,6.78,296.0,55.0,8.0,0.0,5.34,233.0,Tuesday,12,2023-07,0.4,Positive
36,2023-07-04 12:19:00,7081954747687084032,Post,Photo, ,https://linkedin.com/feed/update/urn:li:share:7081954747687084032,"#MoneyManagement Tip 4:
Have self-control. Don't spend money you don't have.
#ITCANBE",430.0,1.86,8.0,5.0,0.0,0.0,0.7,3.0,Tuesday,12,2023-07,0.0,Neutral
37,2023-07-04 10:56:00,7081933675784732672,Post,Photo,Blessing Ubah,https://linkedin.com/feed/update/urn:li:share:7081933675784732672,"Tomorrow is D-DAY.​
Prepare to be immersed in a world of inspiration, knowledge, and limitless possibilities. It's your chance to meet our incredible speakers, receive vital insights, and ignite your personal and professional growth. ​
Click https://qrco.de/bdpAgz to download the Stanbic IBTC Events App, to register today.
#LATTES​
#ITCANBE",426.0,4.23,18.0,10.0,0.0,0.0,1.88,8.0,Tuesday,10,2023-07,0.275,Positive
38,2023-07-04 09:00:00,7081904475656830976,Post,Photo,Sophia Amuka,https://linkedin.com/feed/update/urn:li:share:7081904475656830976,"Diversify your portfolio with Stanbic IBTC Money Market Fund. Visit https://lnkd.in/dKf4DH6w today to get started.​
#Invest​​
#MutualFunds​​
#ITCANBE ​
",275.0,1.82,5.0,3.0,0.0,0.0,0.73,2.0,Tuesday,9,2023-07,0.0,Neutral
39,2023-07-03 16:25:00,7081654087242424320,Post,Photo,Blessing Ubah,https://linkedin.com/feed/update/urn:li:ugcPost:7081654087242424320,"Are you ready to take charge, embrace your real potential, and leave a lasting impression? Look no further! ​
Join us at the Ladies At The Table Empowerment Series (LATTES) 3.0.​
Tune in to our live broadcast on our social media channels and embark on an extraordinary journey of self-discovery, growth, and empowerment.​
Click https://qrco.de/bdpAgz to download the Stanbic IBTC Events App, to register today.
#LATTES​
#ITCANBE",407.0,4.42,18.0,4.0,0.0,1.0,3.19,13.0,Monday,16,2023-07,0.10043290043290043,Positive
40,2023-07-03 15:15:00,7081636459715133440,Post,Photo,Sophia Amuka,https://linkedin.com/feed/update/urn:li:share:7081636459715133440,"#MoneyManagement Tip 3:
Save for your future today. Even a small amount can make a big difference.
#ITCANBE
",279.0,2.15,6.0,4.0,2.0,0.0,0.0,0.0,Monday,15,2023-07,-0.08333333333333333,Negative
41,2023-07-03 14:25:00,7081623880271896576,Post,Photo,Blessing Ubah,https://linkedin.com/feed/update/urn:li:ugcPost:7081623880271896576,"Driving growth beyond borders is what we do.
A selection of our clients were at the third biennial China-Africa Economic and Trade Expo (CAETE) through our parent group, Standard Bank, to exhibit their produce such as Soy Beans, Sorghum, Millet, Cashew nuts and Sesame Seeds. The expo served to boost African goods and services exports by establishing new platforms for direct business cooperation and cross-border trade.
At Stanbic IBTC, our Africa-China trade solution connects clients to an extensive network of vetted export partners and reputable Chinese importers. To learn more, visit https://lnkd.in/dtuuT4y8
#GoForGrowth
#ITCANBE",2339.0,13.0,304.0,32.0,1.0,0.0,11.59,271.0,Monday,14,2023-07,0.13057851239669424,Positive
42,2023-07-03 13:23:00,7081608447019876352,Post,Photo,Blessing Ubah,https://linkedin.com/feed/update/urn:li:ugcPost:7081608447019876352,"Driving growth beyond borders is what we do.
A selection of our clients were at the third biennial China-Africa Economic and Trade Expo (CAETE) through our parent group, Standard Bank, to exhibit their produce such as Soy Beans, Sorghum, Millet, Cashew nuts and Sesame Seeds. The expo served to boost African goods and services exports by establishing new platforms for direct business cooperation and cross-border trade.
At Stanbic IBTC, our Africa-China trade solution connects clients to an extensive network of vetted export partners and reputable Chinese importers. To learn more, visit https://lnkd.in/dtuuT4y8
#GoForGrowth
#ITCANBE",0.0,0.0,,,,,,0.0,Monday,13,2023-07,0.13057851239669424,Positive
43,2023-07-03 12:54:00,7081601000507121666,Post,Photo,Blessing Ubah,https://linkedin.com/feed/update/urn:li:ugcPost:7081601000507121666,"Ready to take your business to a whole new level? ​
Join us at the business masterclass and discover top achievers' strategies to dominate their industries.​
#ITCANBE",779.0,2.95,23.0,3.0,0.0,0.0,2.57,20.0,Monday,12,2023-07,0.2590909090909091,Positive
44,2023-07-03 12:16:00,7081591420410601474,Post,Photo,Sophia Amuka,https://linkedin.com/feed/update/urn:li:ugcPost:7081591420410601474,"If you have any additional questions or concerns about Will writing, feel free to reach out to us at SITLAgency@stanbicibtc.com. 
#ITCANBE
",422.0,0.95,4.0,2.0,0.0,0.0,0.47,2.0,Monday,12,2023-07,0.4,Positive
45,2023-07-03 11:58:00,7081587121429389313,Post,Photo,Aramide Salami,https://linkedin.com/feed/update/urn:li:ugcPost:7081587121429389313,"Driving growth beyond borders is what we do. NALMACO, a leading food processing company and other clients of Stanbic IBTC are currently exhibiting produce at the third biennial China-Africa Economic and Trade Expo (CAETE) through our parent group, Standard Bank. The expo aims to boost African goods and services exports by establishing new platforms for direct business cooperation and cross-border trade.
At Stanbic IBTC, our Africa-China trade solution connects clients to an extensive network of vetted export partners and reputable Chinese importers. To learn more, visit https://lnkd.in/d8kGphFU
#GoForGrowth
#ITCANBE",0.0,0.0,,,,,,0.0,Monday,11,2023-07,0.10928030303030305,Positive
46,2023-07-03 08:00:00,7081526988611403776,Post,Photo,Sophia Amuka,https://linkedin.com/feed/update/urn:li:share:7081526988611403776,"Take charge and become the inspiration that sparks someone's journey this week! 💪 
#PowerUpMonday
#ITCANBE
",1016.0,3.54,36.0,26.0,1.0,1.0,0.79,8.0,Monday,8,2023-07,0.0,Neutral
47,2023-07-02 17:51:00,7081313326839848960,Post,Photo,Sophia Amuka,https://linkedin.com/feed/update/urn:li:share:7081313326839848960,"#MoneyManagement Tip 2:
Budgeting is not about deprivation. It's about making sure your money is working for you.
#ITCANBE
",459.0,1.96,9.0,6.0,0.0,0.0,0.65,3.0,Sunday,17,2023-07,0.5,Positive
48,2023-07-02 12:17:00,7081229275978153984,Post,Photo,Sophia Amuka,https://linkedin.com/feed/update/urn:li:share:7081229275978153984,"Take the first step by opening a stockbroking account with Stanbic IBTC Stockbrokers. Send an email with StartWithZero@stanbicibtc.com to get started.
#Invest
#ITCANBE
",1129.0,2.48,28.0,12.0,2.0,0.0,1.24,14.0,Sunday,12,2023-07,0.25,Positive
49,2023-07-02 08:12:00,7081167619696844800,Post,Photo,Damilare Oyekanmi,https://linkedin.com/feed/update/urn:li:share:7081167619696844800,"Are you ready?​
Join us in three days for an event that promises to be full of great insights and transforming encounters. ​
Catch us on YouTube Live and our other social media channels to experience the Ladies At The Table Empowerment Series 3.0.​

#LATTES​
#ITCANBE​

​",645.0,3.57,23.0,14.0,0.0,1.0,1.24,8.0,Sunday,8,2023-07,0.23893939393939392,Positive
50,2023-07-01 16:48:00,7080935089299165184,Post,Photo,Sophia Amuka,https://linkedin.com/feed/update/urn:li:share:7080935089299165184,"#MoneyManagement Tip 1:
Want to take control of your finances? Start by tracking your spending.
#ITCANBE
",361.0,1.94,7.0,3.0,0.0,0.0,1.11,4.0,Saturday,16,2023-07,0.0,Neutral
51,2023-07-01 08:00:00,7080802358863044608,Post,Video,Sophia Amuka,https://linkedin.com/feed/update/urn:li:ugcPost:7080802358863044608,"Wishing you a wonderful start to #July! May this month be filled with positivity, growth, and new beginnings. Take a moment to set your goals and chase your dreams. 
#ITCANBE
",1057.0,2.08,22.0,15.0,0.0,3.0,0.38,4.0,Saturday,8,2023-07,0.5121212121212121,Positive
52,2023-06-30 20:00:00,7080621042389458944,Post,Photo,Kemi Amoo,https://linkedin.com/feed/update/urn:li:share:7080621042389458944,"Make it a date with us at the Ladies At The Table Empowerment Series 3.0 (LATTES). 
Don’t forget to tell a friend to follow the conversation on our social media channels.​

#LATTES
#ITCANBE
",942.0,5.63,53.0,21.0,0.0,2.0,3.18,30.0,Friday,20,2023-06,0.03333333333333333,Positive
53,2023-06-30 19:02:00,7080606496970989568,Post,Video,Kemi Amoo,https://linkedin.com/feed/update/urn:li:ugcPost:7080606496970989568,"Get ready to be inspired, enlightened, and motivated as we delve into another remarkable experience of growth and empowerment.
Join us on YouTube Live and our other social media channels to catch-up with the Ladies At The Table (LATTES) 3.0.
#LATTES
#ITCANBE
",607.0,1.15,7.0,1.0,0.0,4.0,0.33,2.0,Friday,19,2023-06,0.19893939393939394,Positive
54,2023-06-30 17:10:00,7080578237759651840,Post,Photo,Damilare Oyekanmi,https://linkedin.com/feed/update/urn:li:share:7080578237759651840,"Keep your money in check even when you travel out.
Stay tuned for our Twitter Spaces conversation on Wednesday, 19 July 2023. Set a reminder here -https://lnkd.in/dk3ypsbT

#ITCANBE
",237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Friday,17,2023-06,0.0,Neutral
55,2023-06-30 15:05:00,7080546784539754496,Post,Photo,Damilare Oyekanmi,https://linkedin.com/feed/update/urn:li:share:7080546784539754496,"Your retirement deserves more than just a benefit; it deserves financial freedom. A pension plan opens the door to a consistent income stream, peace of mind, and the ability to embrace the lifestyle you've always dreamt of. Begin your incredible journey towards an amazing future at www.stanbicibtcpension.com. 
#ITCANBE
",609.0,2.46,15.0,10.0,0.0,0.0,0.82,5.0,Friday,15,2023-06,0.375,Positive
56,2023-06-30 14:50:00,7080543003953553409,Post,Photo,Kemi Amoo,https://linkedin.com/feed/update/urn:li:share:7080543003953553409,"Make it a date with us at the Ladies At The Table Empowerment Series 3.0 (LATTES). 
Don’t forget to tell a friend to follow the conversation on our social media channels.​

#LATTES
#ITCANBE
",0.0,0.0,,,,,,0.0,Friday,14,2023-06,0.03333333333333333,Positive
57,2023-06-30 10:37:00,7080479464106655745,Post,Video,Damilare Oyekanmi,https://linkedin.com/feed/update/urn:li:ugcPost:7080479464106655745,"Don't let budget constraints hinder you from owning your dream phone. With Stanbic IBTC Device Financing, you can easily acquire a high-quality mobile phone. Discover more in our latest episode of the enlightening series, 'Chemistry of Wealth.' Listen now at https://lnkd.in/dvX325S7 .
#ITCANBE",417.0,1.2,5.0,2.0,0.0,0.0,0.72,3.0,Friday,10,2023-06,0.43333333333333335,Positive
58,2023-06-30 09:31:00,7080462720893861889,Post,Photo,Damilare Oyekanmi,https://linkedin.com/feed/update/urn:li:share:7080462720893861889,"Our E-trade platform and Stockbroking App gives our clients real-time market information and the ability to buy or sell shares with a single click. Visit https://lnkd.in/dg7662eU to begin.
#GoForGrowth
#TrustedPartner
#ITCANBE
",411.0,2.19,9.0,4.0,1.0,0.0,0.97,4.0,Friday,9,2023-06,-0.07142857142857142,Negative
59,2023-06-29 20:42:00,7080269338607239168,Post,Video,Damilare Oyekanmi,https://linkedin.com/feed/update/urn:li:ugcPost:7080269338607239168,"With one Corporate Social Initiative at a time, we believe we can create a world where women and girls feel empowered to conquer their dreams. 
#ITCANBE",796.0,2.39,19.0,9.0,2.0,1.0,0.88,7.0,Thursday,20,2023-06,0.016666666666666666,Positive
60,2023-06-29 18:25:00,7080234723163201536,Post,Photo,Damilare Oyekanmi,https://linkedin.com/feed/update/urn:li:share:7080234723163201536,"Ladies! Mark the date on your calendar. The third edition of the Ladies At The Table Empowerment Series (LATTES) is here. 
Register now https://lnkd.in/d5ksQc_i you don't want to miss it for anything!

#LATTES
#ITCANBE
",109.0,4.59,5.0,5.0,0.0,0.0,0.0,0.0,Thursday,18,2023-06,0.0,Neutral
61,2023-06-29 15:34:00,7080191818193149952,Post,Video,Damilare Oyekanmi,https://linkedin.com/feed/update/urn:li:ugcPost:7080191818193149952,"Everyone needs a support system to thrive, and the Blue Blossom Community offers just that!
Click https://lnkd.in/d-3GFWkM to join today.
#GoBloom
#ITCANBE
",236.0,0.42,1.0,0.0,0.0,0.0,0.42,1.0,Thursday,15,2023-06,0.0625,Positive
62,2023-06-29 14:09:00,7080170293662556160,Post,Photo,Damilare Oyekanmi,https://linkedin.com/feed/update/urn:li:share:7080170293662556160,"Safeguard the well-being of your team members and unlock a brighter future for your employees. Take the first step by reaching out to us at insure@stanbicibtc.com or call 01 270 6801. 
#ITCANBE",106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Thursday,14,2023-06,0.125,Positive
63,2023-06-29 12:11:00,7080140720027631616,Post,Photo,Damilare Oyekanmi,https://linkedin.com/feed/update/urn:li:share:7080140720027631616,"Repeat these words of affirmation and manifest your financial dreams into reality.🙏🏽 
#ITCANBE
",209.0,2.87,6.0,3.0,0.0,0.0,1.44,3.0,Thursday,12,2023-06,0.0,Neutral
64,2023-06-29 10:13:00,7080111045993803776,Post,Video,Damilare Oyekanmi,https://linkedin.com/feed/update/urn:li:ugcPost:7080111045993803776,"We still haven’t gotten over the Reward4Saving 2.0 winning moments. 💃🏽 🕺🏽 
Get ready for the upcoming 3.0 promo. To participate, simply deposit N10,000 into a new or existing savings account or @easewallet. 
Let's embark on this savings journey together!  
#ITCANBE
",122.0,1.64,2.0,1.0,0.0,0.0,0.82,1.0,Thursday,10,2023-06,0.21761363636363634,Positive
65,2023-06-28 21:23:00,7079917344226983936,Post,Video,Damilare Oyekanmi,https://linkedin.com/feed/update/urn:li:ugcPost:7079917344226983936,"Go ahead, embrace your inner hero, and shield your home with confidence!
#WealthWednesday
#ITCANBE
",591.0,1.18,7.0,4.0,0.0,0.0,0.51,3.0,Wednesday,21,2023-06,0.0,Neutral
