,Date,Post ID,Content Type,Sent by,Post,Impressions,Reach,Engagement Rate (per Impression),Engagement Rate (per Reach),Engagements,Likes,Comments,Shares,Click-Through Rate,Other Post Clicks,Post Clicks (All),Post Photo View Clicks,Negative Feedback,Engaged Users,Engaged Fans,Users Talking About This,Unique Reactions,Unique Comments,Unique Shares,Unique Answers,Unique Post Clicks,Unique Post Photo View Clicks,Unique Other Post Clicks,Unique Negative Feedback,Weekday,Time,Positive Reactions,Negative Reactions,year_month,Sentiment,Sentiment_Label
11,2020-03-23 20:38:00,253788558082460_2609683145826311,Photo, ,"Which option will you pick and why?

#StanbicIBTCGeng #909FanGeng #InvestmentClubGeng #SavingsSureGeng #BookwormGeng #EasterLoveGeng",1015.0,57960.0,1.77,7.63,"4,423",1377.0,693.0,71.0,0.0,"2,245",2245.0,550,2.0,"3,041","2,704","1,723","1,360",595.0,53.0,0.0,"1,910",540,"1,524",2.0,Monday,20,1414.0,0.0,2020-03,0.0,Neutral
12,2017-09-17 11:37:00,253788558082460_1284615251666447,Photo, ,"This EPL #Supersunday, it's the Blues against the Gunners. Predict and win 5k shopping voucher.",1345.0,56094.0,1.93,9.32,"5,230",631.0,1050.0,96.0,0.0,"3,443",3443.0,"1,305",7.0,"2,431","1,974","1,398",620,955.0,95.0,0.0,"1,948",717,"1,628",6.0,Sunday,11,641.0,0.0,2017-09,0.8,Positive
13,2023-04-07 12:58:00,253788558082460_5774511702676757,Photo, ,"We are pleased to inform you that your prayers to become a landlord have been answered. You can now access your Retirement Savings Account to fulfil your dream of owning a home. Visit https://bit.ly/StanbicIBTCHomeLoans now to get started.​​
#ITCANBE​",1244.0,53536.0,4.9,1.1,590,88.0,18.0,1.0,0.04,461,482.0,156,1.0,381,149,100,88,15.0,1.0,0.0,303,156,258,1.0,Friday,12,89.0,0.0,2023-04,0.5,Positive
14,2019-03-28 12:59:00,253788558082460_1948210078640291,Photo, ,"#ThrowBackThursday
Growing up, what did you call the fifty Naira note?",916.0,52865.0,2.4,8.66,"4,578",531.0,429.0,27.0,0.0,"3,582",3582.0,493,6.0,"3,499","3,178",883,539,393.0,21.0,0.0,"3,126",438,"2,933",6.0,Thursday,12,540.0,0.0,2019-03,0.0,Neutral
15,2019-09-03 11:43:00,253788558082460_2207578096036820,Photo,Aramide Salami,"Every human life is a precious gift to humanity. 
Let us love and respect one another. 
We’re one Africa; let’s put aside all differences and stand together with love. 
We #SayNoToXenophobia",1292.0,52185.0,3.25,7.12,"3,717",622.0,186.0,187.0,0.0,"2,675",2675.0,585,1.0,"2,573","1,591",852,649,120.0,170.0,0.0,"1,993",563,"1,679",1.0,Tuesday,11,647.0,22.0,2019-09,0.375,Positive
16,2023-01-03 16:46:00,253788558082460_5488086614652602,Text, ,"If you had two hours to listen to someone speak, what would you like to listen to:
-Career lessons 💻
-Business tips 👩‍💼👨‍💼
-Soft life living 😉",1120.0,52043.0,2.59,4.9,"2,551",393.0,483.0,4.0,0.0,"1,657",1657.0,,3.0,"1,698","1,316",720,389,439.0,4.0,0.0,"1,444",,"1,444",3.0,Tuesday,16,406.0,1.0,2023-01,0.1,Positive
17,2021-12-27 19:00:00,253788558082460_4410976629030278,Text, ,Why is the Stanbic IBTC Super App difficult to use?,1107.0,51042.0,3.88,7.36,"3,758",216.0,305.0,2.0,0.0,"3,223",3223.0,,0.0,"2,249","2,107",349,225,148.0,2.0,0.0,"2,104",,"2,104",0.0,Monday,19,223.0,5.0,2021-12,-0.08333333333333334,Negative
18,2017-09-30 12:09:00,253788558082460_1295292953932010,Photo, ,Be one of the first 6 to predict the final score correctly and win free airtime as Chelsea host Man City at the battle of the bridge.,1043.0,50072.0,2.11,8.52,"4,266",759.0,900.0,96.0,0.0,"2,502",2503.0,878,0.0,"2,237","1,852","1,396",749,804.0,78.0,0.0,"1,652",612,"1,351",0.0,Saturday,12,767.0,0.0,2017-09,0.36250000000000004,Positive
19,2023-01-26 20:58:00,253788558082460_5555128791281717,Text, ,Reminder: Don’t forget to deposit your old Naira notes at any of our branches. You have five days to go! What are you waiting for?,2341.0,49103.0,27.51,12.35,"6,065",774.0,286.0,30.0,0.0,"4,899",4899.0,,1.0,"3,783","3,423","1,036",850,203.0,29.0,0.0,"3,178",,"3,178",1.0,Thursday,20,846.0,4.0,2023-01,0.125,Positive
20,2020-05-16 17:00:00,253788558082460_2728953713899253,Photo, ,Tell us what transactions you can carry out with your @easewallet?,1377.0,48919.0,2.32,2.79,"1,367",366.0,201.0,6.0,0.0,788,788.0,208,5.0,971,890,453,361,105.0,6.0,0.0,638,208,485,4.0,Saturday,17,372.0,0.0,2020-05,0.0,Neutral
21,2021-12-07 12:00:00,253788558082460_4329069807220961,Photo, ,"If you were born in June, ‘cut soap for us oh’! 😄 
 #ITCANBE",1288.0,48046.0,2.48,8.31,"3,994",447.0,795.0,12.0,0.0,"2,629",2629.0,128,1.0,"2,507","2,322","1,138",546,751.0,11.0,0.0,"2,149",124,"2,104",1.0,Tuesday,12,554.0,4.0,2021-12,0.0,Neutral
22,2019-06-01 21:00:00,253788558082460_2047313545396610,Photo, ,The FGN Bond is a risk-free investment vehicle just for you! You can subscribe with as little as N5000. Speak to our consultants now on 01 422 0004 or send an email to stockbroking@stanbicibtc.com to get started.,1273.0,47621.0,1.89,3.21,"1,530",265.0,165.0,34.0,0.0,"1,056",1056.0,252,3.0,"1,063",953,373,264,110.0,31.0,0.0,832,247,685,3.0,Saturday,21,275.0,0.0,2019-06,0.15625,Positive
23,2021-06-16 19:00:00,253788558082460_3805501246244489,Photo, ,"What would it be for you? 5k daily or 5 billion at once?
#MoneyTalks",1019.0,45598.0,2.75,7.21,"3,286",225.0,307.0,1.0,0.0,"2,740",2740.0,59,3.0,"2,170","1,835",443,238,258.0,1.0,0.0,"2,030",59,"2,006",3.0,Wednesday,19,238.0,0.0,2021-06,0.0,Neutral
24,2022-12-29 12:51:00,253788558082460_5474095942718336,Text, ,"If you are to attend a youth fair in 2023, who would you like to see as a speaker? 

#SomethingBigIsComing
#ITCANBE",995.0,45529.0,1.81,13.91,"6,331",290.0,745.0,5.0,0.0,"5,244",5244.0,,3.0,"3,340",878,857,326,609.0,5.0,0.0,"2,917",,"2,917",3.0,Thursday,12,336.0,1.0,2022-12,0.7,Positive
25,2021-10-02 16:54:00,253788558082460_4122710774523533,Photo,Blessing Ubah,"Satisfy your tastebuds this week with finger-licking goodness!. 😉 
Walk into any Chocolate Royal store today and get a 10% discount when you present your Stanbic IBTC e-loyalty card to make a purchase.
Visit www.chocolatroyal.com to view the products available.
#ITCANBE",967.0,45132.0,2.28,0.3,135,37.0,2.0,0.0,0.0,96,96.0,13,2.0,115,29,38,37,1.0,0.0,0.0,77,13,75,2.0,Saturday,16,37.0,0.0,2021-10,0.2,Positive
26,2019-02-22 10:00:00,253788558082460_1902210229906943,Photo, ,There are some movies we never get tired of seeing.,967.0,45104.0,1.55,5.16,"2,327",292.0,313.0,22.0,0.0,"1,697",1697.0,407,7.0,"1,641","1,487",565,295,276.0,19.0,0.0,"1,378",340,"1,173",7.0,Friday,10,295.0,0.0,2019-02,-0.4,Negative
27,2017-10-14 10:00:00,253788558082460_1307026269425345,Photo, ,The first 3 correct predictions of the final score win free airtime.,1206.0,44872.0,46.85,7.48,"3,356",564.0,667.0,66.0,0.0,"2,051",2051.0,775,3.0,"1,718","1,378","1,016",561,579.0,59.0,0.0,"1,260",526,969,3.0,Saturday,10,572.0,0.0,2017-10,0.36250000000000004,Positive
28,2020-05-22 13:00:00,253788558082460_2743338915794066,Photo, ,"Households, Microenterprises and SMEs! Take advantage of the N50 Billion Targeted Credit Facility offered by the Central Bank of Nigeria (CBN) to mitigate the effects of COVID-19. To know more, please call 0700 909 909 909 or send an email to CustomerCareNigeria@stanbicibtc.com",922.0,44509.0,2.06,5.27,"2,345",305.0,339.0,25.0,0.0,"1,669",1669.0,565,3.0,"1,533","1,386",470,312,158.0,23.0,0.0,"1,242",538,910,3.0,Friday,13,312.0,0.0,2020-05,0.25,Positive
29,2018-03-15 10:00:00,253788558082460_1458359857625318,Photo, ,Do you know the name and what this local snack is made from?,1249.0,44018.0,3.12,12.25,"5,393",738.0,470.0,117.0,0.0,"4,048",4048.0,778,13.0,"3,867","2,552","1,145",746,418.0,98.0,0.0,"3,386",714,"2,984",12.0,Thursday,10,758.0,0.0,2018-03,0.0,Neutral
30,2019-06-29 17:00:00,253788558082460_2092063614254936,Photo, ,"No matter your income level, you too can invest in the FGN Bonds for a secure future. Call 01 422 0004 or send an email to stockbroking@stanbicibtc.com to get started with as little as N5000.",4604.0,43673.0,2.48,2.72,"1,187",247.0,72.0,25.0,0.0,843,843.0,131,2.0,910,849,295,247,38.0,25.0,0.0,679,132,565,2.0,Saturday,17,247.0,0.0,2019-06,0.07083333333333335,Positive
31,2019-06-19 21:00:00,253788558082460_2078443372283627,Photo, ,Are you looking for a long-term investment opportunity with good returns that you can start with just N5K? Our Mutual Funds fits the description! Call 01-2801266 or send an email to assetmanagement@stanbicibtc.com to get started.,1080.0,43592.0,4.35,3.52,"1,534",301.0,158.0,29.0,0.0,"1,035",1035.0,306,2.0,"1,107",958,408,299,114.0,28.0,0.0,840,303,628,2.0,Wednesday,21,312.0,0.0,2019-06,0.875,Positive
32,2023-02-14 15:02:00,253788558082460_5614963681964894,Photo,Damilare Oyekanmi,"Take your ‘bae’ to see the world with peace of mind when you leverage the Stanbic IBTC Motor Insurance Policy. ​​
Visit https://bit.ly/3YovJwW to get started.​​

#GoForLife​ ​
#ITCANBE",1613.0,41885.0,2.79,1.02,428,122.0,11.0,7.0,0.0,284,286.0,31,3.0,337,62,135,122,9.0,6.0,0.0,219,29,210,3.0,Tuesday,15,124.0,0.0,2023-02,0.0,Neutral
33,2019-08-06 12:17:00,253788558082460_2158748667586430,Photo,Aramide Salami,"Make the most of today. Invest in the FGN Bonds with us - starting from N5000. For more, please email Stockbroking@stanbicibtc.com or call 01 422 0004.",1089.0,41639.0,2.48,3.08,"1,282",243.0,139.0,36.0,0.0,858,858.0,235,4.0,878,791,331,242,87.0,30.0,0.0,679,230,529,4.0,Tuesday,12,249.0,0.0,2019-08,0.3333333333333333,Positive
34,2017-12-21 10:01:00,253788558082460_1370580986403206,Photo, ,"Trivia
What word do you get when you rearrange the word “SHELF”?",1023.0,41465.0,1.86,7.85,"3,254",341.0,341.0,10.0,0.0,"2,554",2554.0,566,1.0,"2,172","2,033",580,338,271.0,9.0,0.0,"1,910",456,"1,688",1.0,Thursday,10,349.0,0.0,2017-12,0.0,Neutral
35,2021-08-03 12:00:00,253788558082460_3939104369550842,Text, ,"What can you do with zero naira?
A. Sleep
B. Open a stockbroking account",1474.0,41369.0,2.31,6.47,"2,675",240.0,230.0,2.0,0.0,"2,198",2198.0,,4.0,"1,514","1,412",371,245,153.0,1.0,0.0,"1,330",,"1,330",4.0,Tuesday,12,245.0,0.0,2021-08,0.0,Neutral
36,2019-07-20 10:00:00,253788558082460_2129864547141509,Photo, ,"With as little as N5000, you can reach your money goals for the rest of the year. Call 01 280 1266  to get started. #NeverStopInvesting",675.0,41043.0,2.67,2.66,"1,091",239.0,96.0,53.0,0.0,696,696.0,188,3.0,747,634,303,233,61.0,48.0,0.0,548,186,429,3.0,Saturday,10,246.0,0.0,2019-07,-0.1875,Negative
37,2022-01-11 19:41:00,253788558082460_4454870911307516,Photo, ,"Well done Super Eagles, keep soaring. 
#GoForIt 
#ITCANBE 
#AFCON2021",1606.0,40790.0,4.23,7.82,"3,190",583.0,30.0,10.0,0.0,"2,537",2537.0,484,1.0,"2,689","2,528",617,605,25.0,10.0,0.0,"2,199",475,"1,753",1.0,Tuesday,19,613.0,0.0,2022-01,0.3333333333333333,Positive
38,2021-11-23 15:00:00,253788558082460_4282586151869327,Photo, ,"If you could choose, which one would you pick? 
Tell us in the comment section.
#ITCANBE",0.0,40742.0,0.0,8.29,"3,376",185.0,413.0,6.0,0.0,"2,765",2765.0,75,2.0,"2,487","2,335",530,191,400.0,6.0,0.0,"2,357",74,"2,335",2.0,Tuesday,15,192.0,0.0,2021-11,0.0,Neutral
39,2017-12-04 11:00:00,253788558082460_1354152601379378,Photo, ,Imagine a gift that keeps on giving – even beyond the season!,1739.0,40271.0,3.91,6.74,"2,715",579.0,455.0,51.0,0.0,"1,619",1620.0,500,7.0,"1,556","1,347",789,557,314.0,41.0,0.0,"1,168",397,846,6.0,Monday,11,589.0,0.0,2017-12,0.0,Neutral
40,2023-01-30 18:57:00,253788558082460_5567266760067920,Photo, ,"The new Naira banknotes in circulation have several security features for ease of recognition which can be easily seen and touched.
Please deposit your old N200, N500 and N1000 naira notes at any Stanbic IBTC branch near you.
Image Source - Central Bank of Nigeria
 
#ITCANBE",1282.0,39938.0,1.48,6.98,"2,789",459.0,57.0,57.0,0.0,"2,204",2206.0,412,0.0,"2,181","1,737",516,457,41.0,35.0,0.0,"1,828",408,"1,476",0.0,Monday,18,467.0,2.0,2023-01,0.12828282828282828,Positive
41,2023-01-30 18:57:00,253788558082460_5567266376734625,Photo, ,,1104.0,39528.0,2.72,6.95,"2,749",447.0,56.0,57.0,0.0,"2,177",2179.0,411,0.0,"2,141","1,718",503,446,39.0,35.0,0.0,"1,806",407,"1,458",0.0,Monday,18,455.0,2.0,2023-01,0.0,Neutral
42,2023-01-30 18:57:00,253788558082460_5567266523401277,Photo, ,,1224.0,39528.0,3.19,6.95,"2,749",447.0,56.0,57.0,0.0,"2,177",2179.0,411,0.0,"2,141","1,718",503,446,39.0,35.0,0.0,"1,806",407,"1,458",0.0,Monday,18,455.0,2.0,2023-01,0.0,Neutral
43,2018-12-24 14:34:00,253788558082460_1817944491666851,Photo, ,Invest in the FGN bonds with as little as N5000 and watch your money grow. Call us on 01 422 0004 or email stockbroking@stanbicibtc.com to learn more.,1217.0,38626.0,2.79,6.2,"2,393",302.0,488.0,38.0,0.0,"1,560",1560.0,499,2.0,"1,240","1,016",530,307,235.0,34.0,0.0,980,375,822,2.0,Monday,14,307.0,0.0,2018-12,0.15625,Positive
44,2020-10-24 22:03:00,253788558082460_3167442400050380,Photo, ,"We understand the pain you may be experiencing as a result of the losses during this time. We are here to help however we can, let us know how we can support you by filling the form in the link - https://standardbank.eu.qualtrics.com/jfe/form/SV_8dhBv3NEGQIJJZz",2029.0,37485.0,2.37,7.41,"2,777",251.0,337.0,34.0,0.62,"1,909",2151.0,329,3.0,"1,448","1,141",419,255,148.0,34.0,0.0,"1,196",314,864,3.0,Saturday,22,254.0,1.0,2020-10,0.0,Neutral
45,2019-02-02 09:57:00,253788558082460_1872837056177594,Photo, ,"It's our 30th anniversary today. We would like to say thank you for taking this journey with us. Here’s to many more years of #MovingForward, together.",1820.0,37139.0,1.65,5.71,"2,120",933.0,172.0,115.0,0.0,850,850.0,350,0.0,"1,537","1,088","1,071",967,145.0,105.0,0.0,707,334,443,0.0,Saturday,9,983.0,0.0,2019-02,0.5,Positive
46,2021-08-30 13:46:00,253788558082460_4018722931588985,Photo, ,"Congratulations on winning the *909# giveaway.

You have won airtime from us. Kindly send us a DM with your contact details (name, email and phone number) to claim your reward.",1313.0,36994.0,2.36,5.97,"2,207",195.0,154.0,3.0,0.0,"1,849",1849.0,47,1.0,"1,024",940,281,197,98.0,2.0,0.0,867,40,867,1.0,Monday,13,201.0,0.0,2021-08,0.55,Positive
47,2019-05-23 10:11:00,253788558082460_2031853586942606,Photo, ,"#NaijaLife
What was the last item you bought with the 50 kobo coin?",1436.0,36937.0,2.51,3.12,"1,153",286.0,117.0,28.0,0.0,702,702.0,151,2.0,928,838,401,299,100.0,27.0,0.0,649,150,522,2.0,Thursday,10,303.0,3.0,2019-05,0.0,Neutral
48,2022-03-02 14:09:00,253788558082460_4629783560482916,Text, ,"We have flexible, non-collateral loan products for SMEs to take advantage of:
👉🏽SME EZCash - You can get it within three minutes
👉🏽SME Lite Loan- You can get it within 24 hours. 

#StanbicIBTCAfricaNXT 
#AfricaNXT2022
#ITCANBE",0.0,36583.0,0.0,6.99,"2,556",166.0,589.0,3.0,0.0,"1,794",1794.0,,2.0,"1,129","1,051",357,169,216.0,3.0,0.0,987,,987,2.0,Wednesday,14,169.0,1.0,2022-03,0.0,Neutral
49,2021-08-10 19:00:00,253788558082460_3960510240743588,Text, ,"How much does it cost to open a stockbroking account?
A. N100,000
B. N0",0.0,36577.0,0.0,9.04,"3,308",182.0,288.0,1.0,0.0,"2,834",2834.0,,6.0,"1,941","1,789",335,185,177.0,1.0,0.0,"1,813",,"1,813",6.0,Tuesday,19,185.0,0.0,2021-08,0.1,Positive
50,2019-01-30 21:00:00,253788558082460_1869434723184494,Photo, ,Thinking of a path to financial freedom? Invest in Stanbic IBTC Mutual Funds.,2688.0,36573.0,1.82,5.33,"1,951",285.0,238.0,34.0,0.0,"1,385",1385.0,495,4.0,"1,260","1,138",433,294,140.0,31.0,0.0,"1,006",425,727,4.0,Wednesday,21,294.0,0.0,2019-01,0.0,Neutral
51,2019-07-16 21:00:00,253788558082460_2124083854386245,Photo, ,With #5000 you can afford to put all your eggs in different investment baskets with our Mutual Fund.,1863.0,36458.0,1.5,3.72,"1,358",224.0,129.0,27.0,0.0,966,966.0,388,1.0,977,864,305,235,65.0,27.0,0.0,764,386,485,1.0,Tuesday,21,236.0,0.0,2019-07,0.0,Neutral
52,2018-12-18 21:00:00,253788558082460_1810575982403702,Photo, ,Open a Fixed Deposit account to save part of your income. The accumulated income can be used to further invest in your business at the right time.,1940.0,36417.0,1.75,3.7,"1,347",225.0,248.0,30.0,0.0,840,840.0,294,1.0,773,667,344,223,120.0,27.0,0.0,575,244,444,1.0,Tuesday,21,229.0,0.0,2018-12,0.09642857142857142,Positive
53,2021-09-27 17:00:00,253788558082460_4107018766092734,Photo, ,"Looking at pictures of your dream vacation spot is not enough.
Invest towards it with mutual funds!
Visit www.linktr.ee/StanbicIBTC and click ‘Want to know more about our investment options’ to begin.
#NeverStopInvesting",2408.0,36359.0,1.58,0.57,206,56.0,7.0,2.0,0.06,116,139.0,18,1.0,154,47,63,58,6.0,2.0,0.0,96,18,82,1.0,Monday,17,58.0,0.0,2021-09,0.25,Positive
54,2020-04-14 15:00:00,253788558082460_2655130314614927,Photo,Aramide Salami,"We remain committed to joining forces with the government and the organized private sector to fight COVID-19. Here is one of the ways we are doing that.  
#StaySafe",3561.0,36183.0,1.12,5.04,"1,824",483.0,211.0,13.0,0.0,"1,107",1107.0,224,2.0,867,762,133,4,122.0,13.0,0.0,847,213,713,2.0,Tuesday,15,488.0,5.0,2020-04,0.0,Neutral
55,2021-10-25 13:29:00,253788558082460_4191560957638514,Photo, ,"Meet the new Naira - eNaira 
You can now use your eNaira wallet to send and receive money on your Mobile App and Internet banking today.
#ITCANBE",2012.0,36037.0,4.37,5.68,"2,048",174.0,287.0,17.0,0.0,"1,564",1564.0,48,3.0,947,834,321,178,141.0,17.0,0.0,791,47,773,3.0,Monday,13,180.0,0.0,2021-10,0.13636363636363635,Positive
56,2020-06-28 12:00:00,253788558082460_2833010066826950,Photo, ,*909# has you covered! Here are many ways you can use our USSD code. Call us on 0700 909 909 909 for more details. #ItCanBe,2805.0,34961.0,3.24,3.84,"1,344",312.0,96.0,29.0,0.0,899,899.0,377,0.0,963,884,367,307,50.0,27.0,0.0,672,375,356,0.0,Sunday,12,319.0,1.0,2020-06,0.5,Positive
57,2020-11-17 12:00:00,253788558082460_3230629030398383,Photo, ,"Who has eyes like an eagle? Spot the difference.

Hint – There are 5 differences

#ITCANBE",1377.0,34808.0,2.18,12.02,"4,185",169.0,197.0,3.0,0.0,"3,809",3809.0,86,1.0,"2,875","2,504",313,175,148.0,3.0,0.0,"2,738",86,"2,704",1.0,Tuesday,12,176.0,0.0,2020-11,0.0,Neutral
58,2019-04-29 21:01:00,253788558082460_1994959007298731,Photo, ,Just another reason to invest in FGN bonds. Call 01 422 0004 or email stockbroking@stanbicibtc.com to learn more.,1457.0,34569.0,1.72,2.69,930,164.0,85.0,26.0,0.0,651,651.0,217,4.0,607,557,214,164,38.0,22.0,0.0,448,163,337,4.0,Monday,21,168.0,0.0,2019-04,0.5,Positive
59,2019-10-07 21:00:00,253788558082460_2269767723151190,Photo, ,"You can diversify your investments now by investing in the October FGN Bonds. 
Call 01 422 0004 or email stockbroking@stanbicibtc.com for more details.",1219.0,34443.0,4.68,2.09,721,128.0,73.0,23.0,0.0,495,495.0,156,3.0,535,489,179,130,35.0,22.0,0.0,395,151,294,3.0,Monday,21,130.0,0.0,2019-10,0.5,Positive
60,2019-07-18 12:20:00,253788558082460_2126779784116652,Photo, ,Carrying out your transactions is as easy as *909#.,1407.0,34375.0,2.91,3.02,"1,038",352.0,56.0,92.0,0.0,532,532.0,174,1.0,766,548,377,307,39.0,75.0,0.0,468,170,319,1.0,Thursday,12,358.0,0.0,2019-07,0.43333333333333335,Positive
61,2019-07-18 12:20:00,253788558082460_2126779097450054,Photo, ,Carrying out your transactions is as easy as *909#.,1696.0,34326.0,2.36,3.01,"1,034",349.0,56.0,92.0,0.0,531,531.0,173,1.0,763,548,375,305,39.0,75.0,0.0,466,169,319,1.0,Thursday,12,355.0,0.0,2019-07,0.43333333333333335,Positive
62,2021-08-24 10:00:00,253788558082460_4000492063412072,Text, ,"Which would prefer using when it rains?
A. Umbrella
B. Raincoat",1490.0,34047.0,13.09,6.74,"2,294",197.0,294.0,0.0,0.0,"1,797",1797.0,,5.0,"1,657","1,522",422,203,275.0,0.0,0.0,"1,520",,"1,520",5.0,Tuesday,10,203.0,0.0,2021-08,0.0,Neutral
63,2019-08-28 12:00:00,253788558082460_2197093717085258,Photo, ,With just N5000 you too can subscribe to the FGN bonds. Hurry now and call 01 422 0004 or send an email to stockbroking@stanbicibtc.com to get started!,2112.0,33964.0,1.66,3.24,"1,100",179.0,92.0,32.0,0.0,791,791.0,229,1.0,775,700,261,183,70.0,30.0,0.0,607,220,480,1.0,Wednesday,12,185.0,0.0,2019-08,0.0,Neutral
64,2021-06-05 12:00:00,253788558082460_3775149972612950,Text, ,"When was the last time you used *909#?

A. Few minutes ago
B. Not interested! 🙄",1182.0,33577.0,1.52,7.89,"2,649",157.0,308.0,0.0,0.0,"2,181",2181.0,,3.0,"1,619","1,378",334,160,201.0,0.0,0.0,"1,543",,"1,543",3.0,Saturday,12,159.0,1.0,2021-06,-0.11875000000000001,Negative
